i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	link
4162	4162	2BvR2211/00	27.10.2003	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031027_2bvr221100.html;jsessionid=C650F13022529CD2AABE54748D61FF61.2_cid394
4163	4163	2BvR311/03	29.07.2003	2	1	NA	 die Richter Sommer Di Fabio die Richterin Lübbe-Wolff  	Sommer, Di Fabio, Lübbe-Wolff	Sommer, DiFabio, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/07/rk20030729_2bvr031103.html;jsessionid=FEDDEDCC9B35D235DC7F511507936931.2_cid394
4164	4164	2BvR205/91	14.10.1998	2	2	2	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/10/rk19981014_2bvr020591.html;jsessionid=9231227D3AA9A1E31A3B4FFAFFF9705B.2_cid394
4165	4165	2BvR609/96	27.01.1999	2	2	NA	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/01/rk19990127_2bvr060996.html;jsessionid=C7D0E7297AABBBDC6D7C830F241508E7.2_cid383
4166	4166	1BvR616/991BvR1028/03	30.08.2005	1	3	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/08/rk20050830_1bvr061699.html;jsessionid=36A0DAE57164033182B7ABCBC7E2FDDB.2_cid383
4167	4167	2BvC5/00	09.10.2000	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/cs20001009_2bvc000500.html;jsessionid=A1CA3219DA18FC4FE288FBE5C529E642.2_cid361
4168	4168	1BvR426/02	11.03.2003	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt des Richters Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Bryde	None	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/03/rs20030311_1bvr042602.html;jsessionid=8CB31DDFAB00D8B03F8A5EBB9F1757AB.2_cid392
4169	4169	2BvQ48/00	18.06.2001	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio Mellinghoff  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/06/qs20010618_2bvq004800.html;jsessionid=776EFCE80ED77AD6FD924C29EC35C289.2_cid394
4170	4170	1BvR3132/08	12.01.2011	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/01/rk20110112_1bvr313208.html;jsessionid=8DC23AD475F296A921E6825BB5BD8D2F.2_cid392
4171	4171	2BvR272/11	13.04.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110413_2bvr027211.html;jsessionid=D0CC332B969E3220F33BA40B58A7DF3B.2_cid392
4172	4172	2BvL2/13	19.11.2014	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/11/ls20141119_2bvl000213.html;jsessionid=9C0AFBA44F1A26DF85D6E9404A7851BD.2_cid394
4173	4173	1BvR175/05	13.07.2005	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/07/rk20050713_1bvr017505.html;jsessionid=38CD8795F696B833AD78DCDE26637C83.2_cid394
4174	4174	2BvR1328/96	16.10.1998	2	1	1	 Richter Sommer Hassemer Broß  	Sommer, Hassemer, Broß	Sommer, Hassemer, Broß	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/10/rk19981016_2bvr132896.html;jsessionid=9231227D3AA9A1E31A3B4FFAFFF9705B.2_cid394
4175	4175	1BvR2260/97	12.07.2000	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/07/rk20000712_1bvr226097.html;jsessionid=9678079FB5DD31550FBC66BD1647692D.2_cid393
4176	4176	2BvR736/11	17.10.2012	2	3	3	 die Richterin Lübbe-Wolff den Richter Huber die Richterin Kessal-Wulf  	Lübbe-Wolff, Huber, Kessal-Wulf	Lübbe-Wolff, Huber, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/10/rk20121017_2bvr073611.html;jsessionid=5A1DF201A74082D35F428D74B43F402A.2_cid370
4177	4177	2BvR1416/06	27.07.2006	2	3	3	 en Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/07/rk20060727_2bvr141606.html;jsessionid=7AB0F1722F9C0F4409AA3E0455F19A68.2_cid393
4178	4178	2BvR1103/08	07.10.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/10/rk20081007_2bvr110308.html;jsessionid=17D83EBA7D3F286E03D69B82957DCE54.2_cid370
4179	4179	1BvR700/01	06.07.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/rk20010706_1bvr070001.html;jsessionid=EA47E90F1E095C2B14327FACAD6C592B.2_cid392
4180	4180	2BvR1240/02	06.11.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/11/rk20031106_2bvr124002.html;jsessionid=90F6DD276D2B116264A86EE5DAC31753.2_cid394
4181	4181	2BvE10/05	13.09.2005	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/09/es20050913_2bve001005.html;jsessionid=2F60A369955D29D4FAC0A68C973436E7.2_cid370
4182	4182	2BvR264/06	14.07.2006	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/07/rk20060714_2bvr026406.html;jsessionid=7AB0F1722F9C0F4409AA3E0455F19A68.2_cid393
4183	4183	1BvR2087/031BvR2111/03	28.06.2004	1	1	1	 den Präsidenten Papier die Richterin Haas den Richter Hoffmann-Riem  	Papier, Haas, Hoffmann-Riem	Papier, Haas, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/06/rk20040628_1bvr208703.html;jsessionid=779FAF1F8DDFA687108CAB5B39EB832F.2_cid393
4184	4184	2BvR1820/03	29.01.2004	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040129_2bvr182003.html;jsessionid=9C8D989302790372E1D87A49D8414477.2_cid361
4185	4185	1BvR2851/13	23.04.2014	1	2	2	 die Richter Gaier Schluckebier Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/04/rk20140423_1bvr285113.html;jsessionid=C0F45AC35BC7050764EB5FCEBA2F9221.2_cid361
4186	4186	1BvR2231/021BvR572/031BvR586/031BvR629/03	28.04.2005	1	3	3	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/04/rk20050428_1bvr223102.html;jsessionid=35C77DAD63CC4243C872D4B69DE860AA.2_cid361
4187	4187	2BvQ5/10	04.02.2010	2	3	3	 den Vizepräsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/02/qk20100204_2bvq000510.html;jsessionid=3172F765B78C8CB992457F0AB816761A.2_cid361
4188	4188	2BvR1418/02	30.09.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/09/rk20020930_2bvr141802.html;jsessionid=1B78F163C31C80666279B69EEA44AC72.2_cid394
4189	4189	2BvR201/01	21.02.2001	2	4	4	 die Richterin Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/02/rk20010221_2bvr020101.html;jsessionid=5E5CA33BBDF24730C040FDE9DFBB7FA1.2_cid370
4190	4190	2BvR1601/94	16.02.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000216_2bvr160194.html;jsessionid=5680F045B15E5138A96B5EA05B1A2EF3.2_cid383
4191	4191	1BvR859/13	19.12.2013	1	2	2	 die Richter Gaier Schluckebier Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/12/rk20131219_1bvr085913.html;jsessionid=EC96AD7626F4F98DDB14C162E5E04834.2_cid383
4192	4192	2BvR591/062BvR1689/092BvR2698/092BvR2715/092BvR148/102BvR816/10	28.10.2010	2	1	1	 die Richterin Osterloh die Richter Mellinghoff Gerhardt  	Osterloh, Mellinghoff, Gerhardt	Osterloh, Mellinghoff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/10/rk20101028_2bvr081610.html;jsessionid=4EE2FF66AFD93B004C5821DC5ADF550B.2_cid361
4193	4193	1BvR1710/07	17.07.2007	1	2	2	 Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/07/rk20070717_1bvr171007.html;jsessionid=476ADAF12C04A6D461F2C275B8216CAF.2_cid361
4194	4194	2BvR1220/93	10.11.1998	2	NA	NA	 Präsidentin Limbach Kirchhof Winter Sommer Jentsch Hassemer Broß Osterloh  	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, , Osterloh	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/11/rs19981110_2bvr122093.html;jsessionid=D376EA68FBE8AEFDF8EE6E3267DDC687.2_cid361
4195	4195	1BvQ33/00	25.11.2000	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/11/qk20001125_1bvq003300.html;jsessionid=89825C1B082505C9F507F7EA0EDC118B.2_cid361
4196	4196	2BvR1492/08	14.01.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/01/rk20090114_2bvr149208.html;jsessionid=40C0624DAA787F9CE093202B006C7133.2_cid370
4197	4197	2BvR443/04	09.12.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/12/rk20081209_2bvr044304.html;jsessionid=A4356D533A9A3A8809BA1033661E3D69.2_cid370
4198	4198	2BvR1319/96	15.02.2001	2	1	1	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/02/rk20010215_2bvr131996.html;jsessionid=5E5CA33BBDF24730C040FDE9DFBB7FA1.2_cid370
4199	4199	1BvR1192/08	21.05.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080521_1bvr119208.html;jsessionid=BEE84988AAEC4884ACE284D5134441E8.2_cid383
4200	4200	1BvR1127/01	16.07.2004	1	2	NA	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/07/rk20040716_1bvr112701.html;jsessionid=9554C29B9B4590BB0BA796A500F631F7.2_cid393
4201	4201	2BvR1027/02	18.12.2003	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, , Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/12/rs20031218_2bvr102702.html;jsessionid=8C9A1AEF9A37B55B65A24F2B0145A6EC.2_cid393
4202	4202	1BvR369/08	03.08.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/rk20090803_1bvr036908.html;jsessionid=2E85ED5ECA04F2841FBDEE34397F400B.2_cid394
4203	4203	1BvR1897/08	20.04.2011	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110420_1bvr189708.html;jsessionid=B90036CC1DF4004E54AECFF2307C4278.2_cid383
4204	4204	2BvB1/012BvB2/012BvB3/01	03.07.2001	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio Mellinghoff  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/bs20010703_2bvb000101.html;jsessionid=8A5EB2923DA8153581E3B284CB0CA0DB.2_cid393
4205	4205	2BvR2190/14	05.08.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/rk20150805_2bvr219014.html;jsessionid=2AA3FA5A27A35598D950C93F1A98E89C.2_cid383
4206	4206	1BvR333/98	29.07.1998	1	NA	1	 den Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980729_1bvr033398.html;jsessionid=7E206C850B1D8CA396DC7D94DF86A500.2_cid383
4207	4207	2BvR1385/95	20.05.1998	2	2	2	 Richterin Präsidentin Limbach die Richter Kruis Winter  	Limbach, Kruis, Winter	Limbach, Kruis, Winter	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/05/rk19980520_2bvr138595.html;jsessionid=EFE7433ECAE7D249DEEAD8C24D74499E.2_cid392
4208	4208	1BvR670/91	26.06.2002	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/rs20020626_1bvr067091.html;jsessionid=81488CACDF83D350EC28126667CAF0CD.2_cid361
4209	4209	1BvR808/08	05.05.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080505_1bvr080808.html;jsessionid=45B4D59DD02083EAD47B4078E498DDD9.2_cid361
4210	4210	1BvR596/03	04.02.2004	1	3	3	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/02/rk20040204_1bvr059603.html;jsessionid=88BAEA4CFE93339DCCFFCCDE5BFBCAE4.2_cid370
4211	4211	1BvR529/12	19.04.2012	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/04/rk20120419_1bvr052912.html;jsessionid=AD280F8DA5439E47539CBBF725F4103D.2_cid361
4212	4212	1BvR232/97	12.11.2002	1	1	1	 den Präsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/11/rk20021112_1bvr023297.html;jsessionid=CEFFACB0261CA331565E78B26A4917B0.2_cid394
4213	4213	1BvR1446/04	26.08.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/08/rk20040826_1bvr144604.html;jsessionid=F4F9565F5A0F9FB891F0E91FA2F4BE84.2_cid392
4214	4214	2BvR982/00	18.07.2001	2	2	2	 den Richter Sommer die Richterin Osterloh den Richter Di Fabio  	Sommer, Osterloh, Di Fabio	Sommer, Osterloh, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/rk20010718_2bvr098200.html;jsessionid=B4ECEEA079C5353FEB10DBB19E913FEE.2_cid392
4215	4215	1BvQ2/13	13.02.2013	1	1	1	 den Vizepräsidenten Kirchhof den Richter Eichberger die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/02/qk20130213_1bvq000213.html;jsessionid=5461B57EF276AE4BDC5C74FAD6DCEA8E.2_cid370
4216	4216	2BvR1147/05	27.06.2006	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/rk20060627_2bvr114705.html;jsessionid=4473BF7B60028541E2D5521F79900042.2_cid394
4217	4217	1BvR1637/99	06.10.2000	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/rk20001006_1bvr163799.html;jsessionid=465235E7A8872EFAB632D015768ACE00.2_cid361
4218	4218	2BvR171/99	11.03.1999	2	3	3	 Richterin Präsidentin Limbach die Richter Kirchhof Jentsch  	Limbach, Kirchhof, Jentsch	Limbach, Kirchhof, Jentsch	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/03/rk19990311_2bvr017199.html;jsessionid=12DFCDD3307807381468EEF66D9473CF.2_cid383
4219	4219	1BvR432/09	17.03.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/03/rk20090317_1bvr043209.html;jsessionid=E1785805E90DB312F185FF7BD6AC0132.2_cid383
4220	4220	1BvR3106/09	02.12.2014	1	NA	NA	 Vizepräsident Kirchhof   Gaier   Eichberger   Schluckebier   Masing   Paulus   Baer   Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/12/rs20141202_1bvr310609.html;jsessionid=579EE113842F18880B58A02A38BEB5C2.2_cid392
4221	4221	2BvL5/03	11.08.2008	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Gerhardt  	Mellinghoff, Lübbe-Wolff, Gerhardt	Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/08/lk20080811_2bvl000503.html;jsessionid=D3621814E7B335009791AACA3869AAAF.2_cid383
4222	4222	1BvR848/01	02.11.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/11/rk20011102_1bvr084801.html;jsessionid=C78B22FD98C082B13D1F684715664C54.2_cid383
4223	4223	1BvR1311/96	16.03.2006	1	3	3	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/03/rk20060316_1bvr131196.html;jsessionid=A7F57216D4587F4B1013AD5F3076122E.2_cid392
4224	4224	1BvR2389/04	26.09.2006	1	2	2	 die Richterin Haas die Richter Bryde Eichberger  	Haas, Bryde, Eichberger	HaasBrydeEichberger, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/09/rk20060926_1bvr238904.html;jsessionid=66CF20F6A4C4935A2BA066D7811F2B05.2_cid394
4225	4225	2BvR2432/12	21.11.2012	2	1	1	 den Präsidenten Voßkuhle die Richter Gerhardt Landau  	Voßkuhle, Gerhardt, Landau	Voßkuhle, Gerhardt, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/11/rk20121121_2bvr243212.html;jsessionid=C10858FD3AACDD67EEE3691B365E175A.2_cid370
4226	4226	1BvR152/011BvR160/04	19.10.2006	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/10/rk20061019_1bvr015201.html;jsessionid=8122252E6A765376F592B0AFA75807E3.2_cid383
4227	4227	2BvR717/08	09.12.2008	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/12/rk20081209_2bvr071708.html;jsessionid=8C27DD3B537BA8A4AA4A1DA505CB18BE.2_cid392
4228	4228	1BvR1179/09	25.06.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090625_1bvr117909.html;jsessionid=0D82A334594A141CBB8867ACC299B042.2_cid393
4229	4229	2BvR1240/01	04.02.2002	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/02/rk20020204_2bvr124001.html;jsessionid=1A1B3FEC7BB0F38F1813BE80D7AD07B8.2_cid393
4230	4230	2BvR1378/04	03.05.2005	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/05/rk20050503_2bvr137804.html;jsessionid=35C77DAD63CC4243C872D4B69DE860AA.2_cid361
